helper_removed,case_id,family,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_executor_equivalence_match,candidate_executor_equivalence_match,delta_executor_equivalence_match
no_controller_repair,transfer_error_banner_note_decoy,visual_argument_transfer,,,0,,,0
no_controller_repair,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,,,0,,,0
no_controller_repair,transfer_queue_badge_person_decoy,visual_argument_transfer,,,0,,,0
no_controller_repair,transfer_review_tile_notice_table_decoy,visual_argument_transfer,,,0,,,0
no_controller_repair,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,,,0,,,0
no_controller_repair,transfer_status_pill_chart_decoy,visual_argument_transfer,,,0,,,0
no_controller_fallback,transfer_error_banner_note_decoy,visual_argument_transfer,,,0,,,0
no_controller_fallback,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,,,0,,,0
no_controller_fallback,transfer_queue_badge_person_decoy,visual_argument_transfer,,,0,,,0
no_controller_fallback,transfer_review_tile_notice_table_decoy,visual_argument_transfer,,,0,,,0
no_controller_fallback,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,,,0,,,0
no_controller_fallback,transfer_status_pill_chart_decoy,visual_argument_transfer,,,0,,,0
no_argument_repair,transfer_error_banner_note_decoy,visual_argument_transfer,,,0,,,0
no_argument_repair,transfer_form_error_old_selection_chip_decoy,visual_tool_routing_transfer,,,0,,,0
no_argument_repair,transfer_queue_badge_person_decoy,visual_argument_transfer,,,0,,,0
no_argument_repair,transfer_review_tile_notice_table_decoy,visual_argument_transfer,,,0,,,0
no_argument_repair,transfer_signature_warning_checkbox_decoy,visual_tool_routing_transfer,,,0,,,0
no_argument_repair,transfer_status_pill_chart_decoy,visual_argument_transfer,,,0,,,0
