surface,label,shared_case_count,candidate_exact_rate,candidate_executor_equivalence_rate,delta_exact_rate,delta_executor_equivalence_rate
oracle_v2,contracted,6,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
oracle_v2,role_catalog_v1,6,0.5,0.5,0.16666666666666669,0.16666666666666669
oracle_v2,argument_hints_v2,6,0.8333333333333334,1.0,0.5,0.6666666666666667
oracle_v2,schema_field_hints_v4,6,0.3333333333333333,0.3333333333333333,0.0,0.0
oracle_v2,schema_literal_targets_v5,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
repeat_v1,contracted,6,0.0,0.0,-0.3333333333333333,-0.3333333333333333
repeat_v1,role_catalog_v1,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
repeat_v1,argument_hints_v2,6,0.8333333333333334,1.0,0.5,0.6666666666666667
repeat_v1,schema_field_hints_v4,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
repeat_v1,schema_literal_targets_v5,6,0.8333333333333334,1.0,0.5,0.6666666666666667
