run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T085644Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,True,,,,,1.0,0,36,0,1.0,0.0,44574,0.0,95,0,1.0
20260409T085728Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,True,,,,,0.0,0,256,0,0.0,0.0,44096,0.0,106,0,0.0
20260409T085803Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,True,,,,,1.0,0,232,0,1.0,0.0,35005,0.0,164,0,1.0
20260409T085804Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,True,,,,,1.0,0,7,0,1.0,0.0,1580,0.0,101,0,1.0
20260409T085805Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,True,,,,,1.0,0,3,0,1.0,0.0,886,0.0,139,0,1.0
20260409T085844Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,True,,,,,1.0,0,200,0,1.0,0.0,38586,0.0,377,0,1.0
20260409T085932Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,True,,,,,0.0,0,256,0,0.0,0.0,48199,0.0,374,0,0.0
20260409T085933Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,True,,,,,1.0,0,5,0,1.0,0.0,1276,0.0,109,0,1.0
20260409T085935Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,True,,,,,1.0,0,8,0,1.0,0.0,1701,0.0,132,0,1.0
20260409T090015Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,True,,,,,0.0,0,256,0,0.0,0.0,39549,0.0,106,0,0.0
