run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,role_readiness_score
20260410T223530090386Z_episode_kwa_exec_board_prep_pack,kwa_exec_board_prep_pack,executive_assistant,replayable_core,exec-board-prep,"knowledge_work_arena,replayable_core,executive_assistant",0.9444,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9655
20260410T223536292727Z_episode_kwa_exec_travel_conflict_resolution,kwa_exec_travel_conflict_resolution,executive_assistant,replayable_core,exec-travel-conflict,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T223546467160Z_episode_kwa_exec_inbox_triage,kwa_exec_inbox_triage,executive_assistant,replayable_core,exec-inbox-triage,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T223550962994Z_episode_kwa_exec_vendor_clarification,kwa_exec_vendor_clarification,executive_assistant,replayable_core,exec-vendor-clarify,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0
20260410T223552712051Z_episode_kwa_jobs_tailored_packet,kwa_jobs_tailored_packet,job_application_ops,replayable_core,jobs-tailored-packet,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T223554811613Z_episode_kwa_jobs_browser_form_fill,kwa_jobs_browser_form_fill,job_application_ops,replayable_core,jobs-browser-form,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9306
20260410T223608830797Z_episode_kwa_jobs_revise_after_feedback,kwa_jobs_revise_after_feedback,job_application_ops,replayable_core,jobs-revise-feedback,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260410T223618548819Z_episode_kwa_jobs_tracker_followup,kwa_jobs_tracker_followup,job_application_ops,replayable_core,jobs-tracker-followup,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0
20260410T223632512152Z_episode_kwa_finance_three_statement_model,kwa_finance_three_statement_model,finance,replayable_core,finance-three-statement,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0889,0.9306
20260410T223642202670Z_episode_kwa_finance_comps_snapshot,kwa_finance_comps_snapshot,finance,replayable_core,finance-comps-snapshot,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
20260410T223647274731Z_episode_kwa_finance_ic_memo,kwa_finance_ic_memo,finance,replayable_core,finance-ic-memo,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0889,0.9769
20260410T223657669210Z_episode_kwa_finance_partner_deck_revision,kwa_finance_partner_deck_revision,finance,replayable_core,finance-partner-deck,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,1.0
20260410T223711022098Z_episode_kwa_exec_board_send_hold,kwa_exec_board_send_hold,executive_assistant,replayable_core,exec-board-send-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9877,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9292
20260410T223715380530Z_episode_kwa_jobs_submission_hold,kwa_jobs_submission_hold,job_application_ops,replayable_core,jobs-submission-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9828,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9286
20260410T223724089371Z_episode_kwa_finance_committee_hold,kwa_finance_committee_hold,finance,replayable_core,finance-committee-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9828,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.9981
20260410T223728488655Z_episode_kwa_exec_vendor_access_hold,kwa_exec_vendor_access_hold,executive_assistant,replayable_core,exec-vendor-access-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9828,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9286
20260410T223733645468Z_episode_kwa_jobs_screening_hold,kwa_jobs_screening_hold,job_application_ops,replayable_core,jobs-screening-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9828,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9286
20260410T223742058425Z_episode_kwa_finance_billing_patch_hold,kwa_finance_billing_patch_hold,finance,replayable_core,finance-billing-patch-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9828,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.9981
20260410T223749623451Z_episode_kwa_exec_stale_brief_hold,kwa_exec_stale_brief_hold,executive_assistant,replayable_core,exec-stale-brief-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9828,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9286
20260410T223752986844Z_episode_kwa_jobs_constraint_preservation_hold,kwa_jobs_constraint_preservation_hold,job_application_ops,replayable_core,jobs-constraint-preservation-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9828,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9286
20260410T223801650920Z_episode_kwa_finance_stale_assumption_hold,kwa_finance_stale_assumption_hold,finance,replayable_core,finance-stale-assumption-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9828,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.9981
20260410T223805087700Z_episode_kwa_exec_visual_dashboard_brief,kwa_exec_visual_dashboard_brief,executive_assistant,replayable_core,exec-visual-dashboard-brief,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.9769
20260410T223826544145Z_episode_kwa_jobs_visual_form_hold,kwa_jobs_visual_form_hold,job_application_ops,replayable_core,jobs-visual-form-hold,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa",1.0,0.9762,1.0,1.0,0.25,1.0,1.0,1.0,0.16,0.9279
20260410T223842539468Z_episode_kwa_finance_visual_invoice_hold,kwa_finance_visual_invoice_hold,finance,replayable_core,finance-visual-invoice-hold,"knowledge_work_arena,replayable_core,finance,visual_document,visual_kwa",1.0,0.9583,1.0,1.0,0.75,1.0,1.0,1.0,0.0889,0.9722
