run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T134141Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,4,0,1.0,0.0,15026,0.0,225,0,1.0
20260409T134141Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_language_fr,think_003_policy_reasoning,think_003_policy_reasoning_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,0,4,0,1.0,0.0,425,0.0,228,0,1.0
20260409T134142Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_context_stale_preference,think_003_policy_reasoning,think_003_policy_reasoning_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,4,0,1.0,0.0,429,0.0,239,0,1.0
20260409T134142Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_efficiency_dim_256,think_003_policy_reasoning,think_003_policy_reasoning_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,4,0,1.0,0.0,432,0.0,225,0,1.0
20260409T134144Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,26,0,1.0,0.0,1371,0.0,382,0,1.0
20260409T134145Z_monolith_think_006_screenshot_security_think_006_screenshot_security_language_fr,think_006_screenshot_security,think_006_screenshot_security_language_fr,thinking,monolith,mlx,False,fr,,,,"failed, answer_mismatch, image_grounding_miss",0.0,0,5,0,0.0,0.0,1116,0.0,385,0,0.0
20260409T134146Z_monolith_think_006_screenshot_security_think_006_screenshot_security_context_stale_preference,think_006_screenshot_security,think_006_screenshot_security_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,6,0,1.0,0.0,1126,0.0,396,0,1.0
20260409T134147Z_monolith_think_006_screenshot_security_think_006_screenshot_security_efficiency_dim_256,think_006_screenshot_security,think_006_screenshot_security_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,26,0,1.0,0.0,1364,0.0,382,0,1.0
20260409T134148Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,3,0,1.0,0.0,1049,0.0,379,0,1.0
20260409T134149Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_language_fr,think_007_doc_image_summary,think_007_doc_image_summary_language_fr,thinking,monolith,mlx,False,fr,,,,none,1.0,0,3,0,1.0,0.0,1035,0.0,382,0,1.0
20260409T134150Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_context_stale_preference,think_007_doc_image_summary,think_007_doc_image_summary_context_stale_preference,thinking,monolith,mlx,False,,,stale_preference,,none,1.0,0,4,0,1.0,0.0,1076,0.0,393,0,1.0
20260409T134151Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_efficiency_dim_256,think_007_doc_image_summary,think_007_doc_image_summary_efficiency_dim_256,thinking,monolith,mlx,False,,,,dim_256,none,1.0,0,3,0,1.0,0.0,1017,0.0,379,0,1.0
